cow_i,cow_j,start_ts,end_ts,zone
2,16,1909377,1909976,free_area
2,16,1909977,1910576,free_area
2,16,1910577,1911176,free_area
2,16,1911177,1911776,free_area
2,16,1911777,1912376,free_area
2,16,1912377,1912976,free_area
2,16,1912977,1913576,free_area
2,16,1913577,1914176,free_area
2,16,1914177,1914776,free_area
2,16,1914777,1915376,free_area
2,16,1915377,1915976,free_area
2,16,1915977,1916576,free_area
2,16,1916577,1917176,free_area
2,16,1917177,1917776,free_area
2,16,1917777,1918376,free_area
2,16,1918377,1918976,free_area
2,16,1918977,1919576,free_area
2,16,1919577,1920176,free_area
2,16,1920177,1920776,free_area
2,16,1920777,1921376,free_area
2,16,1921377,1921976,free_area
2,16,1921977,1922576,free_area
2,16,1922577,1923176,free_area
2,16,1923177,1923776,free_area
2,16,1923777,1924376,free_area
2,16,1924377,1924976,free_area
2,16,1924977,1925576,free_area
2,16,1925577,1926176,free_area
2,16,1926177,1926776,free_area
2,16,1926777,1927376,free_area
2,16,1927377,1927976,free_area
2,16,1927977,1928576,free_area
2,16,1928577,1929176,free_area
2,16,1929177,1929776,free_area
2,16,1929777,1930376,free_area
2,16,1930377,1930976,free_area
2,16,1930977,1931576,free_area
2,16,1931577,1932176,free_area
2,16,1932177,1932776,free_area
2,16,1932777,1933376,free_area
2,16,1933377,1933976,free_area
2,16,1933977,1934576,free_area
2,16,1934577,1935176,free_area
2,16,1935177,1935776,free_area
2,16,1935777,1936376,free_area
2,16,1936377,1936976,free_area
2,16,1936977,1937576,free_area
2,16,1937577,1938176,free_area
2,16,1938177,1938776,free_area
2,16,1938777,1939376,free_area
2,16,1939377,1939976,free_area
2,16,1939977,1940576,free_area
2,16,1940577,1941176,free_area
2,16,1941177,1941776,free_area
2,16,1941777,1942376,free_area
2,16,1942377,1942976,free_area
2,16,1942977,1943576,free_area
2,16,1943577,1944176,free_area
2,16,1944177,1944776,free_area
2,16,1944777,1945376,free_area
2,16,1945377,1945976,free_area
2,16,1945977,1946576,free_area
2,16,1946577,1947176,free_area
2,16,1947177,1947776,free_area
2,16,1947777,1948376,free_area
2,16,1948377,1948976,free_area
2,16,1948977,1949576,free_area
2,16,1949577,1950176,free_area
2,16,1950177,1950776,free_area
2,16,1950777,1951376,free_area
2,16,1951377,1951976,free_area
2,16,1951977,1952576,free_area
2,16,1952577,1953176,free_area
2,16,1953177,1953776,free_area
2,16,1953777,1954376,free_area
2,16,1954377,1954976,free_area
2,16,1954977,1955576,free_area
2,16,1955577,1956176,free_area
2,16,1956177,1956776,free_area
2,16,1956777,1957376,free_area
2,16,1957377,1957976,free_area
2,16,1957977,1958576,free_area
2,16,1958577,1959176,free_area
2,16,1959177,1959776,free_area
2,16,1959777,1960376,free_area
2,16,1960377,1960976,free_area
2,16,1960977,1961576,free_area
2,16,1961577,1962176,free_area
2,16,1962177,1962776,free_area
2,16,1962777,1963376,free_area
2,16,1963377,1963976,free_area
2,16,1963977,1964576,free_area
2,16,1964577,1965176,free_area
2,16,1965177,1965776,free_area
2,16,1965777,1966376,free_area
2,16,1966377,1966976,free_area
2,16,1966977,1967576,free_area
2,16,1967577,1968176,free_area
2,16,1968177,1968776,free_area
2,16,1968777,1969376,free_area
2,16,1969377,1969976,free_area
2,16,1969977,1970576,free_area
2,16,1970577,1971176,free_area
2,16,1971177,1971776,free_area
2,16,1971777,1972376,free_area
2,16,1972377,1972976,free_area
2,16,1972977,1973576,free_area
2,16,1973577,1974176,free_area
2,16,1974177,1974776,free_area
2,16,1974777,1975376,free_area
2,16,1975377,1975976,free_area
2,16,1975977,1976576,free_area
2,16,1976577,1977176,free_area
2,16,1977177,1977776,free_area
2,16,1977777,1978376,free_area
2,16,1978377,1978976,free_area
2,16,1978977,1979576,free_area
2,16,1979577,1980176,free_area
2,16,1980177,1980776,free_area
2,16,1980777,1981376,free_area
2,16,1981377,1981976,free_area
2,16,1981977,1982576,free_area
2,16,1982577,1983176,free_area
2,16,1983177,1983776,free_area
2,16,1983777,1984376,free_area
2,16,1984377,1984976,free_area
2,16,1984977,1985576,free_area
2,16,1985577,1986176,free_area
2,16,1986177,1986776,free_area
2,16,1986777,1987376,free_area
2,16,1987377,1987976,free_area
2,16,1987977,1988576,free_area
2,16,1988577,1989176,free_area
2,16,1989177,1989776,free_area
2,16,1989777,1990376,free_area
2,16,1990377,1990976,free_area
2,16,1990977,1991576,free_area
2,16,1991577,1992176,free_area
2,16,1992177,1992776,free_area
2,16,1992777,1993376,free_area
2,16,1993377,1993976,free_area
2,16,1993977,1994576,free_area
2,16,1994577,1995176,free_area
2,16,1995177,1995776,free_area
2,16,1995777,1996376,free_area
2,16,1996377,1996976,free_area
2,16,1996977,1997576,free_area
2,16,1997577,1998176,free_area
2,16,1998177,1998776,free_area
2,16,1998777,1999376,free_area
2,16,1999377,1999976,free_area
2,16,1999977,2000576,free_area
2,16,2000577,2001176,free_area
2,16,2001177,2001776,free_area
2,16,2001777,2002376,free_area
2,16,2002377,2002976,free_area
2,16,2002977,2003576,free_area
2,16,2003577,2004176,free_area
2,16,2004177,2004776,free_area
2,16,2004777,2005376,free_area
2,16,2005377,2005976,free_area
2,16,2005977,2006576,free_area
2,16,2006577,2007176,free_area
2,16,2007177,2007776,free_area
2,16,2007777,2008376,free_area
2,16,2008377,2008976,free_area
2,16,2008977,2009576,free_area
2,16,2009577,2010176,free_area
2,16,2010177,2010776,free_area
2,16,2010777,2011376,free_area
2,16,2011377,2011976,free_area
2,16,2011977,2012576,free_area
2,16,2012577,2013176,free_area
2,16,2013177,2013776,free_area
2,16,2013777,2014376,free_area
2,16,2014377,2014976,free_area
2,16,2014977,2015576,free_area
2,16,2015577,2016176,free_area
2,16,2016177,2016776,free_area
2,16,2016777,2017376,free_area
2,16,2017377,2017976,free_area
2,16,2017977,2018576,free_area
2,16,2018577,2019176,free_area
2,16,2019177,2019776,free_area
2,16,2019777,2020376,free_area
2,16,2020377,2020976,free_area
2,16,2020977,2021576,free_area
2,16,2021577,2022176,free_area
2,16,2022177,2022776,free_area
2,16,2022777,2023376,free_area
2,16,2023377,2023976,free_area
2,16,2023977,2024576,free_area
2,16,2024577,2025176,free_area
2,16,2025177,2025776,free_area
2,16,2025777,2026376,free_area
2,16,2026377,2026976,free_area
2,16,2026977,2027576,free_area
2,16,2027577,2028176,free_area
2,16,2028177,2028776,free_area
2,16,2028777,2029376,free_area
2,16,2029377,2029976,free_area
2,16,2029977,2030576,free_area
2,16,2030577,2031176,free_area
2,16,2031177,2031776,free_area
2,16,2031777,2032376,free_area
2,16,2032377,2032976,free_area
2,16,2032977,2033576,free_area
2,16,2033577,2034176,free_area
2,16,2034177,2034776,free_area
2,16,2034777,2035376,free_area
2,16,2035377,2035976,free_area
2,16,2035977,2036576,free_area
2,16,2036577,2037176,free_area
2,16,2037177,2037776,free_area
2,16,2037777,2038376,free_area
2,16,2038377,2038976,free_area
2,16,2038977,2039576,free_area
2,16,2039577,2040176,free_area
2,16,2040177,2040776,free_area
2,16,2040777,2041376,free_area
2,16,2041377,2041976,free_area
2,16,2041977,2042576,free_area
2,16,2042577,2043176,free_area
2,16,2043177,2043776,free_area
2,16,2043777,2044376,free_area
2,16,2044377,2044976,free_area
2,16,2044977,2045576,free_area
2,16,2045577,2046176,free_area
2,16,2046177,2046776,free_area
2,16,2046777,2047376,free_area
2,16,2047377,2047976,free_area
2,16,2047977,2048576,free_area
2,16,2048577,2049176,free_area
2,16,2049177,2049776,free_area
2,16,2049777,2050376,free_area
2,16,2050377,2050976,free_area
2,16,2050977,2051576,free_area
2,16,2051577,2052176,free_area
2,16,2052177,2052776,free_area
2,16,2052777,2053376,free_area
2,16,2053377,2053976,free_area
2,16,2053977,2054576,free_area
2,16,2054577,2055176,free_area
2,16,2055177,2055776,free_area
2,16,2055777,2056376,free_area
2,16,2056377,2056976,free_area
2,16,2056977,2057576,free_area
2,16,2057577,2058176,free_area
2,16,2058177,2058776,free_area
2,16,2058777,2059376,free_area
2,16,2059377,2059976,free_area
2,16,2059977,2060576,free_area
2,16,2060577,2061176,free_area
2,16,2061177,2061776,free_area
2,16,2061777,2062376,free_area
2,16,2062377,2062976,free_area
2,16,2062977,2063576,free_area
2,16,2063577,2064176,free_area
2,16,2064177,2064776,free_area
2,16,2064777,2065376,free_area
2,16,2065377,2065976,free_area
2,16,2065977,2066576,free_area
2,16,2066577,2067176,free_area
2,16,2067177,2067776,free_area
2,16,2067777,2068376,free_area
2,16,2068377,2068976,free_area
2,16,2068977,2069576,free_area
2,16,2069577,2070176,free_area
2,16,2070177,2070776,free_area
2,16,2070777,2071376,free_area
2,16,2071377,2071976,free_area
2,16,2071977,2072576,free_area
2,16,2072577,2073176,free_area
2,16,2073177,2073776,free_area
2,16,2073777,2074376,free_area
2,16,2074377,2074976,free_area
2,16,2074977,2075576,free_area
2,16,2075577,2076176,free_area
2,16,2076177,2076776,free_area
2,16,2076777,2077376,free_area
2,16,2077377,2077976,free_area
2,16,2077977,2078576,free_area
2,16,2078577,2079176,free_area
2,16,2079177,2079776,free_area
2,16,2079777,2080376,free_area
2,16,2080377,2080976,free_area
2,16,2080977,2081576,free_area
2,16,2081577,2082176,free_area
2,16,2082177,2082776,free_area
2,16,2082777,2083376,free_area
2,16,2083377,2083976,free_area
2,16,2083977,2084576,free_area
2,16,2084577,2085176,free_area
2,16,2085177,2085776,free_area
2,16,2085777,2086376,free_area
2,16,2086377,2086976,free_area
2,16,2086977,2087576,free_area
2,16,2087577,2088176,free_area
2,16,2088177,2088776,free_area
2,16,2088777,2089376,free_area
2,16,2089377,2089976,free_area
2,16,2089977,2090576,free_area
2,16,2090577,2091176,free_area
2,16,2091177,2091776,free_area
2,16,2091777,2092376,free_area
2,16,2092377,2092976,free_area
2,16,2092977,2093576,free_area
2,16,2093577,2094176,free_area
2,16,2094177,2094776,free_area
2,16,2094777,2095376,free_area
2,16,2095377,2095976,free_area
2,16,2095977,2096576,free_area
2,16,2096577,2097176,free_area
2,16,2097177,2097776,free_area
2,16,2097777,2098376,free_area
2,16,2098377,2098976,free_area
2,16,2098977,2099576,free_area
2,16,2099577,2100176,free_area
2,16,2100177,2100776,free_area
2,16,2100777,2101376,free_area
2,16,2101377,2101976,free_area
2,16,2101977,2102576,free_area
2,16,2102577,2103176,free_area
2,16,2103177,2103776,free_area
2,16,2103777,2104376,free_area
2,16,2104377,2104976,free_area
2,16,2104977,2105576,free_area
2,16,2105577,2106176,free_area
2,16,2106177,2106776,free_area
2,16,2106777,2107376,free_area
2,16,2107377,2107976,free_area
2,16,2107977,2108576,free_area
2,16,2108577,2109176,free_area
2,16,2109177,2109776,free_area
2,16,2109777,2110376,free_area
2,16,2110377,2110976,free_area
2,16,2110977,2111576,free_area
2,16,2111577,2112176,free_area
2,16,2112177,2112776,free_area
2,16,2112777,2113376,free_area
2,16,2113377,2113976,free_area
2,16,2113977,2114576,free_area
2,16,2114577,2115176,free_area
2,16,2115177,2115776,free_area
2,16,2115777,2116376,free_area
2,16,2116377,2116976,free_area
2,16,2116977,2117576,free_area
2,16,2117577,2118176,free_area
2,16,2118177,2118776,free_area
2,16,2118777,2119376,free_area
2,16,2119377,2119976,free_area
2,16,2119977,2120576,free_area
2,16,2120577,2121176,free_area
2,16,2121177,2121776,free_area
2,16,2121777,2122376,free_area
2,16,2122377,2122976,free_area
2,16,2122977,2123576,free_area
2,16,2123577,2124176,free_area
2,16,2124177,2124776,free_area
2,16,2124777,2125376,free_area
2,16,2125377,2125976,free_area
2,16,2125977,2126576,free_area
2,16,2126577,2127176,free_area
2,16,2127177,2127776,free_area
2,16,2127777,2128376,free_area
2,16,2128377,2128976,free_area
2,16,2128977,2129576,free_area
2,16,2129577,2130176,free_area
2,16,2130177,2130776,free_area
2,16,2130777,2131376,free_area
2,16,2131377,2131976,free_area
2,16,2131977,2132576,free_area
2,16,2132577,2133176,free_area
2,16,2133177,2133776,free_area
2,16,2133777,2134376,free_area
2,16,2134377,2134976,free_area
2,16,2134977,2135576,free_area
2,16,2135577,2136176,free_area
2,16,2136177,2136776,free_area
2,16,2136777,2137376,free_area
2,16,2137377,2137976,free_area
2,16,2137977,2138576,free_area
2,16,2138577,2139176,free_area
2,16,2139177,2139776,free_area
2,16,2139777,2140376,free_area
2,16,2140377,2140976,free_area
2,16,2140977,2141576,free_area
2,16,2141577,2142176,free_area
2,16,2142177,2142776,free_area
2,16,2142777,2143376,free_area
2,16,2143377,2143976,free_area
2,16,2143977,2144576,free_area
2,16,2144577,2145176,free_area
2,16,2145177,2145776,free_area
2,16,2145777,2146376,free_area
2,16,2146377,2146976,free_area
2,16,2146977,2147576,free_area
2,16,2147577,2148176,free_area
2,16,2148177,2148776,free_area
2,16,2148777,2149376,free_area
2,16,2149377,2149976,free_area
2,16,2149977,2150576,free_area
2,16,2150577,2151176,free_area
2,16,2151177,2151776,free_area
2,16,2151777,2152376,free_area
2,16,2152377,2152976,free_area
2,16,2152977,2153576,free_area
2,16,2153577,2154176,free_area
2,16,2154177,2154776,free_area
2,16,2154777,2155376,free_area
2,16,2155377,2155976,free_area
2,16,2155977,2156576,free_area
2,16,2156577,2157176,free_area
2,16,2157177,2157776,free_area
2,16,2157777,2158376,free_area
2,16,2158377,2158976,free_area
2,16,2158977,2159576,free_area
2,16,2159577,2160176,free_area
2,16,2160177,2160776,free_area
2,16,2160777,2161376,free_area
2,16,2161377,2161976,free_area
2,16,2161977,2162576,free_area
2,16,2162577,2163176,free_area
2,16,2163177,2163776,free_area
2,16,2163777,2164376,free_area
2,16,2164377,2164976,free_area
2,16,2164977,2165576,free_area
2,16,2165577,2166176,free_area
2,16,2166177,2166776,free_area
2,16,2166777,2167376,free_area
2,16,2167377,2167976,free_area
2,16,2167977,2168576,free_area
2,16,2168577,2169176,free_area
2,16,2169177,2169776,free_area
2,16,2169777,2170376,free_area
2,16,2170377,2170976,free_area
2,16,2170977,2171576,free_area
2,16,2171577,2172176,free_area
2,16,2172177,2172776,free_area
2,16,2172777,2173376,free_area
2,16,2173377,2173976,free_area
2,16,2173977,2174576,free_area
2,16,2174577,2175176,free_area
2,16,2175177,2175776,free_area
2,16,2175777,2176376,free_area
2,16,2176377,2176976,free_area
2,16,2176977,2177576,free_area
2,16,2177577,2178176,free_area
2,16,2178177,2178776,free_area
2,16,2178777,2179376,free_area
2,16,2179377,2179976,free_area
2,16,2179977,2180576,free_area
2,16,2180577,2181176,free_area
2,16,2181177,2181776,free_area
2,16,2181777,2182376,free_area
2,16,2182377,2182976,free_area
2,16,2182977,2183576,free_area
2,16,2183577,2184176,free_area
2,16,2184177,2184776,free_area
2,16,2184777,2185376,free_area
2,16,2185377,2185976,free_area
2,16,2185977,2186576,free_area
2,16,2186577,2187176,free_area
2,16,2187177,2187776,free_area
2,16,2187777,2188376,free_area
2,16,2188377,2188976,free_area
2,16,2188977,2189576,free_area
2,16,2189577,2190176,free_area
2,16,2190177,2190776,free_area
2,16,2190777,2191376,free_area
2,16,2191377,2191976,free_area
2,16,2191977,2192576,free_area
2,16,2192577,2193176,free_area
2,16,2193177,2193776,free_area
2,16,2193777,2194376,free_area
2,16,2194377,2194976,free_area
2,16,2194977,2195576,free_area
2,16,2195577,2196176,free_area
2,16,2196177,2196776,free_area
2,16,2196777,2197376,free_area
2,16,2197377,2197976,free_area
2,16,2197977,2198576,free_area
2,16,2198577,2199176,free_area
2,16,2199177,2199776,free_area
2,16,2199777,2200376,free_area
2,16,2200377,2200976,free_area
2,16,2200977,2201576,free_area
2,16,2201577,2202176,free_area
2,16,2202177,2202776,free_area
2,16,2202777,2203376,free_area
2,16,2203377,2203976,free_area
2,16,2203977,2204576,free_area
2,16,2204577,2205176,free_area
2,16,2205177,2205776,free_area
2,16,2205777,2206376,free_area
2,16,2206377,2206976,free_area
2,16,2206977,2207576,free_area
2,16,2207577,2208176,free_area
2,16,2208177,2208776,free_area
2,16,2208777,2209376,free_area
2,16,2209377,2209976,free_area
2,16,2209977,2210576,free_area
2,16,2210577,2211176,free_area
2,16,2211177,2211776,free_area
2,16,2211777,2212376,free_area
2,16,2212377,2212976,free_area
2,16,2212977,2213576,free_area
2,16,2213577,2214176,free_area
2,16,2214177,2214776,free_area
2,16,2214777,2215376,free_area
2,16,2215377,2215976,free_area
2,16,2215977,2216576,free_area
2,16,2216577,2217176,free_area
2,16,2217177,2217776,free_area
2,16,2217777,2218376,free_area
2,16,2218377,2218976,free_area
2,16,2218977,2219576,free_area
2,16,2219577,2220176,free_area
2,16,2220177,2220776,free_area
2,16,2220777,2221376,free_area
2,16,2221377,2221976,free_area
2,16,2221977,2222576,free_area
2,16,2222577,2223176,free_area
2,16,2223177,2223776,free_area
2,16,2223777,2224376,free_area
2,16,2224377,2224976,free_area
2,16,2224977,2225576,free_area
2,16,2225577,2226176,free_area
2,16,2226177,2226776,free_area
2,16,2226777,2227376,free_area
2,16,2227377,2227976,free_area
2,16,2227977,2228576,free_area
2,16,2228577,2229176,free_area
2,16,2229177,2229776,free_area
2,16,2229777,2230376,free_area
2,16,2230377,2230976,free_area
2,16,2230977,2231576,free_area
2,16,2231577,2232176,free_area
2,16,2232177,2232776,free_area
2,16,2232777,2233376,free_area
2,16,2233377,2233976,free_area
2,16,2233977,2234576,free_area
2,16,2234577,2235176,free_area
2,16,2235177,2235776,free_area
2,16,2235777,2236376,free_area
2,16,2236377,2236976,free_area
2,16,2236977,2237576,free_area
2,16,2237577,2238176,free_area
2,16,2238177,2238776,free_area
2,16,2238777,2239376,free_area
2,16,2239377,2239976,free_area
2,16,2239977,2240576,free_area
2,16,2240577,2241176,free_area
2,16,2241177,2241776,free_area
2,16,2241777,2242376,free_area
2,16,2242377,2242976,free_area
2,16,2242977,2243576,free_area
2,16,2243577,2244176,free_area
2,16,2244177,2244776,free_area
2,16,2244777,2245376,free_area
2,16,2245377,2245976,free_area
2,16,2245977,2246576,free_area
2,16,2246577,2247176,free_area
2,16,2247177,2247776,free_area
2,16,2247777,2248376,free_area
2,16,2248377,2248976,free_area
2,16,2248977,2249576,free_area
2,16,2249577,2250176,free_area
2,16,2250177,2250776,free_area
2,16,2250777,2251376,free_area
2,16,2251377,2251976,free_area
2,16,2251977,2252576,free_area
2,16,2252577,2253176,free_area
2,16,2253177,2253776,free_area
2,16,2253777,2254376,free_area
2,16,2254377,2254976,free_area
2,16,2254977,2255576,free_area
2,16,2255577,2256176,free_area
2,16,2256177,2256776,free_area
2,16,2256777,2257376,free_area
2,16,2257377,2257976,free_area
2,16,2257977,2258576,free_area
2,16,2258577,2259176,free_area
2,16,2259177,2259776,free_area
2,16,2259777,2260376,free_area
2,16,2260377,2260976,free_area
2,16,2260977,2261576,free_area
2,16,2261577,2262176,free_area
2,16,2262177,2262776,free_area
2,16,2262777,2263376,free_area
2,16,2263377,2263976,free_area
2,16,2263977,2264576,free_area
2,16,2264577,2265176,free_area
2,16,2265177,2265776,free_area
2,16,2265777,2266376,free_area
2,16,2266377,2266976,free_area
2,16,2266977,2267576,free_area
2,16,2267577,2268176,free_area
2,16,2268177,2268776,free_area
2,16,2268777,2269376,free_area
2,16,2269377,2269976,free_area
2,16,2269977,2270576,free_area
2,16,2270577,2271176,free_area
2,16,2271177,2271776,free_area
2,16,2271777,2272376,free_area
2,16,2272377,2272976,free_area
2,16,2272977,2273576,free_area
2,16,2273577,2274176,free_area
2,16,2274177,2274776,free_area
2,16,2274777,2275376,free_area
2,16,2275377,2275976,free_area
2,16,2275977,2276576,free_area
2,16,2276577,2277176,free_area
2,16,2277177,2277776,free_area
2,16,2277777,2278376,free_area
2,16,2278377,2278976,free_area
2,16,2278977,2279576,free_area
2,16,2279577,2280176,free_area
2,16,2280177,2280776,free_area
2,16,2280777,2281376,free_area
2,16,2281377,2281976,free_area
2,16,2281977,2282576,free_area
2,16,2282577,2283176,free_area
2,16,2283177,2283776,free_area
2,16,2283777,2284376,free_area
2,16,2284377,2284976,free_area
2,16,2284977,2285576,free_area
2,16,2285577,2286176,free_area
2,16,2286177,2286776,free_area
2,16,2286777,2287376,free_area
2,16,2287377,2287976,free_area
2,16,2287977,2288576,free_area
2,16,2288577,2289176,free_area
2,16,2289177,2289776,free_area
2,16,2289777,2290376,free_area
2,16,2290377,2290976,free_area
2,16,2290977,2291576,free_area
2,16,2291577,2292176,free_area
2,16,2292177,2292776,free_area
2,16,2292777,2293376,free_area
2,16,2293377,2293976,free_area
2,16,2293977,2294576,free_area
2,16,2294577,2295176,free_area
2,16,2295177,2295776,free_area
2,16,2295777,2296376,free_area
2,16,2296377,2296976,free_area
2,16,2296977,2297576,free_area
2,16,2297577,2298176,free_area
2,16,2298177,2298776,free_area
2,16,2298777,2299376,free_area
2,16,2299377,2299976,free_area
2,16,2299977,2300576,free_area
2,16,2300577,2301176,free_area
2,16,2301177,2301776,free_area
2,16,2301777,2302376,free_area
2,16,2302377,2302976,free_area
2,16,2302977,2303576,free_area
2,16,2303577,2304176,free_area
2,16,2304177,2304776,free_area
2,16,2304777,2305376,free_area
2,16,2305377,2305976,free_area
2,16,2305977,2306576,free_area
2,16,2306577,2307176,free_area
2,16,2307177,2307776,free_area
2,16,2307777,2308376,free_area
2,16,2308377,2308976,free_area
2,16,2308977,2309576,free_area
2,16,2309577,2310176,free_area
2,16,2310177,2310776,free_area
2,16,2310777,2311376,free_area
2,16,2311377,2311976,free_area
2,16,2311977,2312576,free_area
2,16,2312577,2313176,free_area
2,16,2313177,2313776,free_area
2,16,2313777,2314376,free_area
2,16,2314377,2314976,free_area
2,16,2314977,2315576,free_area
2,16,2315577,2316176,free_area
2,16,2316177,2316776,free_area
2,16,2316777,2317376,free_area
2,16,2317377,2317976,free_area
2,16,2317977,2318576,free_area
2,16,2318577,2319176,free_area
2,16,2319177,2319776,free_area
2,16,2319777,2320376,free_area
2,16,2320377,2320976,free_area
2,16,2320977,2321576,free_area
2,16,2321577,2322176,free_area
2,16,2322177,2322776,free_area
2,16,2322777,2323376,free_area
2,16,2323377,2323976,free_area
2,16,2323977,2324576,free_area
2,16,2324577,2325176,free_area
2,16,2325177,2325776,free_area
2,16,2325777,2326376,free_area
2,16,2326377,2326976,free_area
2,16,2326977,2327576,free_area
2,16,2327577,2328176,free_area
2,16,2328177,2328776,free_area
2,16,2328777,2329376,free_area
2,16,2329377,2329976,free_area
2,16,2329977,2330576,free_area
2,16,2330577,2331176,free_area
2,16,2331177,2331776,free_area
2,16,2331777,2332376,free_area
2,16,2332377,2332976,free_area
2,16,2332977,2333576,free_area
2,16,2333577,2334176,free_area
2,16,2334177,2334776,free_area
2,16,2334777,2335376,free_area
2,16,2335377,2335976,free_area
2,16,2335977,2336576,free_area
2,16,2336577,2337176,free_area
2,16,2337177,2337776,free_area
2,16,2337777,2338376,free_area
2,16,2338377,2338976,free_area
2,16,2338977,2339576,free_area
2,16,2339577,2340176,free_area
2,16,2340177,2340776,free_area
2,16,2340777,2341376,free_area
2,16,2341377,2341976,free_area
2,16,2341977,2342576,free_area
2,16,2342577,2343176,free_area
2,16,2343177,2343776,free_area
2,16,2343777,2344376,free_area
2,16,2344377,2344976,free_area
2,16,2344977,2345576,free_area
2,16,2345577,2346176,free_area
2,16,2346177,2346776,free_area
2,16,2346777,2347376,free_area
2,16,2347377,2347976,free_area
2,16,2347977,2348576,free_area
2,16,2348577,2349176,free_area
2,16,2349177,2349776,free_area
2,16,2349777,2350376,free_area
2,16,2350377,2350976,free_area
2,16,2350977,2351576,free_area
2,16,2351577,2352176,free_area
2,16,2352177,2352776,free_area
2,16,2352777,2353376,free_area
2,16,2353377,2353976,free_area
2,16,2353977,2354576,free_area
2,16,2354577,2355176,free_area
2,16,2355177,2355776,free_area
2,16,2355777,2356376,free_area
2,16,2356377,2356976,free_area
2,16,2356977,2357576,free_area
2,16,2357577,2358176,free_area
2,16,2358177,2358776,free_area
2,16,2358777,2359376,free_area
2,16,2359377,2359976,free_area
2,16,2359977,2360576,free_area
2,16,2360577,2361176,free_area
2,16,2361177,2361776,free_area
2,16,2361777,2362376,free_area
2,16,2362377,2362976,free_area
2,16,2362977,2363576,free_area
2,16,2363577,2364176,free_area
2,16,2364177,2364776,free_area
2,16,2364777,2365376,free_area
2,16,2365377,2365976,free_area
2,16,2365977,2366576,free_area
2,16,2366577,2367176,free_area
2,16,2367177,2367776,free_area
2,16,2367777,2368376,free_area
2,16,2368377,2368976,free_area
2,16,2368977,2369576,free_area
2,16,2369577,2370176,free_area
2,16,2370177,2370776,free_area
2,16,2370777,2371376,free_area
2,16,2371377,2371976,free_area
2,16,2371977,2372576,free_area
2,16,2372577,2373176,free_area
2,16,2373177,2373776,free_area
2,16,2373777,2374376,free_area
2,16,2374377,2374976,free_area
2,16,2374977,2375576,free_area
2,16,2375577,2376176,free_area
2,16,2376177,2376776,free_area
2,16,2376777,2377376,free_area
2,16,2377377,2377976,free_area
2,16,2377977,2378576,free_area
2,16,2378577,2379176,free_area
2,16,2379177,2379776,free_area
2,16,2379777,2380376,free_area
2,16,2380377,2380976,free_area
2,16,2380977,2381576,free_area
2,16,2381577,2382176,free_area
2,16,2382177,2382776,free_area
2,16,2382777,2383376,free_area
2,16,2383377,2383976,free_area
2,16,2383977,2384576,free_area
2,16,2384577,2385176,free_area
2,16,2385177,2385776,free_area
2,16,2385777,2386376,free_area
2,16,2386377,2386976,free_area
2,16,2386977,2387576,free_area
2,16,2387577,2388176,free_area
2,16,2388177,2388776,free_area
2,16,2388777,2389376,free_area
2,16,2389377,2389976,free_area
2,16,2389977,2390576,free_area
2,16,2390577,2391176,free_area
2,16,2391177,2391776,free_area
2,16,2391777,2392376,free_area
2,16,2392377,2392976,free_area
2,16,2392977,2393576,free_area
2,16,2393577,2394176,free_area
2,16,2394177,2394776,free_area
2,16,2394777,2395376,free_area
2,16,2395377,2395976,free_area
2,16,2395977,2396576,free_area
2,16,2396577,2397176,free_area
2,16,2397177,2397776,free_area
2,16,2397777,2398376,free_area
2,16,2398377,2398976,free_area
2,16,2398977,2399576,free_area
2,16,2399577,2400176,free_area
2,16,2400177,2400776,free_area
2,16,2400777,2401376,free_area
2,16,2401377,2401976,free_area
2,16,2401977,2402576,free_area
2,16,2402577,2403176,free_area
2,16,2403177,2403776,free_area
2,16,2403777,2404376,free_area
2,16,2404377,2404976,free_area
2,16,2404977,2405576,free_area
2,16,2405577,2406176,free_area
2,16,2406177,2406776,free_area
2,16,2406777,2407376,free_area
2,16,2407377,2407976,free_area
2,16,2407977,2408576,free_area
2,16,2408577,2409176,free_area
2,16,2409177,2409776,free_area
2,16,2409777,2410376,free_area
2,16,2410377,2410976,free_area
2,16,2410977,2411576,free_area
2,16,2411577,2412176,free_area
2,16,2412177,2412776,free_area
2,16,2412777,2413376,free_area
2,16,2413377,2413976,free_area
2,16,2413977,2414576,free_area
2,16,2414577,2415176,free_area
2,16,2415177,2415776,free_area
2,16,2415777,2416376,free_area
2,16,2416377,2416976,free_area
2,16,2416977,2417576,free_area
2,16,2417577,2418176,free_area
2,16,2418177,2418776,free_area
2,16,2418777,2419199,free_area
7,19,55592,56191,resting_bunk_5
7,19,56192,56791,resting_bunk_5
7,19,56792,57391,resting_bunk_5
7,19,57392,57991,resting_bunk_5
7,19,57992,58591,resting_bunk_5
7,19,58592,59191,resting_bunk_5
7,19,59192,59791,resting_bunk_5
7,19,59792,60391,resting_bunk_5
7,19,60392,60991,resting_bunk_5
7,19,60992,61591,resting_bunk_5
7,19,61592,62191,resting_bunk_5
7,19,62192,62791,resting_bunk_5
7,19,62792,63391,resting_bunk_5
7,19,63392,63991,resting_bunk_5
7,19,63992,64591,resting_bunk_5
7,19,64592,65191,resting_bunk_5
7,19,65192,65791,resting_bunk_5
7,19,65792,66391,resting_bunk_5
7,19,66392,66991,resting_bunk_5
